year,season,label,folder,prefix,photos,first,last,date,duplicate_of
2025,spring,M3M-blue,DJI_202505021124_013_11,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505021124_013_11/,578,20250502112923,20250502114844,20250502,
2025,spring,M3M-blue,DJI_202505021151_014_11,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505021151_014_11/,626,20250502115353,20250502121451,20250502,
2025,spring,M3M-blue,DJI_202505021220_015_11,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505021220_015_11/,362,20250502122408,20250502123712,20250502,
2025,spring,M3M-blue,DJI_202505021318_016_20,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505021318_016_20/,479,20250502132147,20250502134033,20250502,
2025,spring,M3M-blue,DJI_202505021430_017_20,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505021430_017_20/,439,20250502143406,20250502144955,20250502,
2025,spring,M3M-blue,DJI_202505021430_018,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505021430_018/,1,20250502144958,20250502144958,20250502,
2025,spring,M3M-blue,DJI_202505021451_019_20,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505021451_019_20/,328,20250502145324,20250502150510,20250502,
2025,spring,M3M-blue,DJI_202505071156_020_2,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505071156_020_2/,404,20250507120037,20250507121408,20250507,
2025,spring,M3M-blue,DJI_202505071217_021_2,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505071217_021_2/,747,20250507122041,20250507124543,20250507,
2025,spring,M3M-blue,DJI_202505071247_022_2,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505071247_022_2/,540,20250507124945,20250507130750,20250507,
2025,spring,M3M-green,DJI_202504301046_001_0,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202504301046_001_0/,487,20250430105408,20250430111027,20250430,
2025,spring,M3M-green,DJI_202504301114_002_0,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202504301114_002_0/,319,20250430111858,20250430112938,20250430,
2025,spring,M3M-green,DJI_202505011002_001_8,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011002_001_8/,649,20250501100828,20250501103013,20250501,
2025,spring,M3M-green,DJI_202505011033_002_8,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011033_002_8/,428,20250501103513,20250501105756,20250501,
2025,spring,M3M-green,DJI_202505011100_003_8,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011100_003_8/,672,20250501110218,20250501112452,20250501,
2025,spring,M3M-green,DJI_202505011127_004_8,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011127_004_8/,45,20250501113022,20250501113151,20250501,
2025,spring,M3M-green,DJI_202505011203_005_15,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011203_005_15/,615,20250501120612,20250501122651,20250501,
2025,spring,M3M-green,DJI_202505011203_006,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011203_006/,1,20250501122653,20250501122653,20250501,
2025,spring,M3M-green,DJI_202505011230_007_15,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011230_007_15/,582,20250501123406,20250501125336,20250501,
2025,spring,M3M-green,DJI_202505011256_008_15,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011256_008_15/,615,20250501125951,20250501132027,20250501,
2025,spring,M3M-green,DJI_202505011330_009_15,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011330_009_15/,351,20250501133436,20250501134620,20250501,
2025,spring,M3M-green,DJI_202505021005_010_12,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505021005_010_12/,204,20250502100826,20250502101514,20250502,
2025,spring,M3M-green,DJI_202505021005_011_12,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505021005_011_12/,371,20250502101717,20250502102942,20250502,
2025,spring,M3M-green,DJI_202505021032_012_12,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505021032_012_12/,576,20250502103450,20250502105408,20250502,
2025,spring,M3M-green,DJI_202505021058_013_12,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505021058_013_12/,573,20250502110142,20250502112053,20250502,
2025,spring,M3M-green,DJI_202505021214_014_10,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505021214_014_10/,490,20250502121958,20250502123622,20250502,
2025,spring,M3M-green,DJI_202505021241_015_10,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505021241_015_10/,540,20250502124528,20250502130333,20250502,
2025,spring,M3M-green,DJI_202505021307_016_10,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505021307_016_10/,614,20250502131024,20250502133058,20250502,
2025,spring,M3M-green,DJI_202505021339_017_10,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505021339_017_10/,558,20250502134305,20250502140146,20250502,
2025,spring,M3M-green,DJI_202505061118_001_6,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505061118_001_6/,415,20250506112304,20250506113658,20250506,
2025,spring,M3M-green,DJI_202505061118_002,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505061118_002/,1,20250506113700,20250506113700,20250506,
2025,spring,M3M-green,DJI_202505061140_003_6,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505061140_003_6/,519,20250506114444,20250506120207,20250506,
2025,spring,M3M-green,DJI_202505061203_004_6,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505061203_004_6/,543,20250506120609,20250506122420,20250506,
2025,spring,M3M-green,DJI_202505061227_005_6,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505061227_005_6/,553,20250506122957,20250506124828,20250506,
2025,spring,M3M-green,DJI_202505061251_006_6,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505061251_006_6/,88,20250506125335,20250506125630,20250506,
2025,spring,M3M-green,DJI_202505071028_007_7,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505071028_007_7/,570,20250507103230,20250507105136,20250507,
2025,spring,M3M-green,DJI_202505071053_008_7,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505071053_008_7/,401,20250507105605,20250507110930,20250507,
2025,spring,M3M-red,DJI_202504301059_001_4,surveys/2025_front_country/spring/data_collection/M3M-red/DCIM/DJI_202504301059_001_4/,557,20250430110345,20250430112810,20250430,
2025,spring,M3M-red,DJI_202504301131_002_4,surveys/2025_front_country/spring/data_collection/M3M-red/DCIM/DJI_202504301131_002_4/,539,20250430113455,20250430115901,20250430,
2025,spring,M3M-red,DJI_202504301131_003,surveys/2025_front_country/spring/data_collection/M3M-red/DCIM/DJI_202504301131_003/,1,20250430115904,20250430115904,20250430,
2025,spring,M3M-red,DJI_202504301202_004_4,surveys/2025_front_country/spring/data_collection/M3M-red/DCIM/DJI_202504301202_004_4/,88,20250430120541,20250430120923,20250430,
2025,spring,M3M-red,DJI_202504301202_005_4,surveys/2025_front_country/spring/data_collection/M3M-red/DCIM/DJI_202504301202_005_4/,224,20250430121045,20250430122039,20250430,
2025,spring,M3M-red,DJI_202504301202_006_4,surveys/2025_front_country/spring/data_collection/M3M-red/DCIM/DJI_202504301202_006_4/,5,20250430122158,20250430122206,20250430,
2025,spring,M3M-red,DJI_202504301317_007_4,surveys/2025_front_country/spring/data_collection/M3M-red/DCIM/DJI_202504301317_007_4/,107,20250430132103,20250430132534,20250430,
2025,spring,M3M-red,DJI_202505011010_001_13,surveys/2025_front_country/spring/data_collection/M3M-red/DCIM/DJI_202505011010_001_13/,609,20250501101243,20250501103939,20250501,
2025,spring,M3M-red,DJI_202505011010_002,surveys/2025_front_country/spring/data_collection/M3M-red/DCIM/DJI_202505011010_002/,1,20250501103942,20250501103942,20250501,
2025,spring,M3M-red,DJI_202505011047_003_13,surveys/2025_front_country/spring/data_collection/M3M-red/DCIM/DJI_202505011047_003_13/,202,20250501105035,20250501105916,20250501,
2025,spring,M3M-red,DJI_202505011156_004_14,surveys/2025_front_country/spring/data_collection/M3M-red/DCIM/DJI_202505011156_004_14/,548,20250501120100,20250501122442,20250501,
